Date,S.N.,Transaction No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2025-07-05,74,2025070305014978,HATHY,49,39,50,1,221.00,61,050.00
2025-07-05,75,2025070305014796,HATHY,38,49,52,1,220.00,63,440.00
2025-07-05,76,2025070305014795,HATHY,7,49,20,1,220.00,24,400.00
2025-07-05,77,2025070305014794,HATHY,34,49,100,1,220.00,122,000.00
2025-07-05,78,2025070305014793,HATHY,19,49,100,1,220.10,122,010.00
2025-07-05,79,2025070305014792,HATHY,7,49,50,1,220.10,61,005.00
2025-07-05,80,2025070305014791,HATHY,50,49,10,1,220.10,12,201.00
2025-07-05,81,2025070305014790,HATHY,63,49,168,1,220.10,204,976.80
2025-07-05,82,2025070305014700,HATHY,63,49,32,1,220.10,39,043.20
2025-07-05,83,2025070305014699,HATHY,34,49,68,1,220.20,82,973.60
2025-07-05,84,2025070305014698,HATHY,38,49,50,1,220.30,61,015.00
2025-07-05,85,2025070305014641,HATHY,58,39,50,1,220.30,61,015.00
2025-07-05,86,2025070305015000,HDL,44,85,100,1,202.00,120,200.00
2025-07-05,87,2025070305014591,HDL,36,10,30,1,202.00,36,060.00
2025-07-05,88,2025070305014806,HDL,36,57,10,1,202.00,12,020.00
2025-07-05,89,2025070305014797,HDL,58,33,12,1,202.80,14,433.60
2025-07-05,90,2025070305014813,HDL,25,85,42,1,202.00,50,484.00
2025-07-05,91,2025070305014812,HDL,16,85,100,1,202.00,120,200.00
2025-07-05,92,2025070305014811,HDL,36,85,50,1,202.00,60,100.00
2025-07-05,93,2025070305014881,HDL,45,13,31,1,201.10,37,234.10
2025-07-05,94,2025070305014880,HDL,39,13,100,1,201.20,120,120.00
2025-07-05,95,2025070305014879,HDL,7,13,29,1,201.30,34,837.70
2025-07-05,96,2025070305014878,HDL,45,13,10,1,201.30,12,013.00
2025-07-05,97,2025070305014877,HDL,16,13,20,1,201.40,24,028.00
2025-07-05,98,2025070305015046,HIDCL,49,65,176,290.70,51,163.20
2025-07-05,99,2025070305015045,HIDCL,17,65,24,290.70,6,976.80
2025-07-05,100,2025070305015041,HIDCL,14,21,40,290.80,11,632.00
2025-07-05,101,2025070305014916,HIDCL,42,21,200,290.80,58,160.00
2025-07-05,102,2025070305014915,HIDCL,13,21,1,000,290.80,290,800.00
2025-07-05,103,2025070305014838,HIDCL,22,21,300,290.80,87,240.00
2025-07-05,104,2025070305014580,HIDCL,32,42,57,291.00,16,587.00
2025-07-05,105,2025070305014579,HIDCL,32,67,143,291.00,41,613.00
2025-07-05,106,2025070305014578,HIDCL,29,67,206,291.00,59,946.00
2025-07-05,107,2025070305014577,HIDCL,21,67,100,291.00,29,100.00
2025-07-05,108,2025070305014569,HIDCL,74,67,751,291.00,218,541.00
2025-07-05,109,2025070305014568,HIDCL,74,35,249,291.00,72,459.00
