Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount,Trade Time
2025-08-12,1,2025081204019812,SHEL,Secured Securities Ltd.,Sani Securities Company Ltd.,50,300.0,15000.0,2025-08-12T14:59:59.905868
2025-08-12,2,2025081204019811,AKPL,South Asian Bulls Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,18,263.4,4741.2,2025-08-12T14:59:59.813888
2025-08-12,3,2025081204019810,IGI,Market Securities & Exchange (PVT) Ltd.,Opal Securities Investment (PVT) Ltd.,20,535.2,10704.0,2025-08-12T14:59:59.789423
2025-08-12,4,2025081204019809,IGI,Shree Krishna Securities Ltd.,Opal Securities Investment (PVT) Ltd.,448,535.2,239769.6,2025-08-12T14:59:59.789245
2025-08-12,5,2025081205026593,GCIL,ABC Securities Private Limited,Cristal Kanchanjanga Securites Pvt. Ltd.,263,500.0,131500.0,2025-08-12T14:59:59.72258
2025-08-12,6,2025081205026592,GCIL,Vision Securities Pvt. Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,250,500.0,125000.0,2025-08-12T14:59:59.722486
2025-08-12,7,2025081205026591,GCIL,Sani Securities Company Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,100,500.0,50000.0,2025-08-12T14:59:59.722392
2025-08-12,8,2025081205026590,GCIL,Aryatara Investment & Securities,Cristal Kanchanjanga Securites Pvt. Ltd.,500,500.0,250000.0,2025-08-12T14:59:59.722276
2025-08-12,9,2025081205026589,GCIL,Aryatara Investment & Securities,Cristal Kanchanjanga Securites Pvt. Ltd.,50,500.0,25000.0,2025-08-12T14:59:59.722176
2025-08-12,10,2025081205026588,GCIL,Dynamic Money Managers Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,20,500.0,10000.0,2025-08-12T14:59:59.722076
2025-08-12,11,2025081205026587,GCIL,Sani Securities Company Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,200,500.1,100020.0,2025-08-12T14:59:59.72197
2025-08-12,12,2025081205026586,GCIL,Aryatara Investment & Securities,Cristal Kanchanjanga Securites Pvt. Ltd.,117,500.3,58535.1,2025-08-12T14:59:59.721703
2025-08-12,13,2025081205026585,MAKAR,Trisul Securities & Invt. Ltd.,Indira securities pvt. ltd,71,620.2,44034.2,2025-08-12T14:59:59.55508
2025-08-12,14,2025081205026584,MAKAR,Capital Max Securities Ltd,Indira securities pvt. ltd,420,620.3,260526.0,2025-08-12T14:59:59.555027
2025-08-12,15,2025081205026583,GVL,Sumeru Securities Pvt. Ltd.,Swarna Laxmi Securities Pvt. Ltd.,20,557.0,11140.0,2025-08-12T14:59:59.545607
2025-08-12,16,2025081205026582,GVL,Himalayan Brokerage Company Limited,Swarna Laxmi Securities Pvt. Ltd.,130,557.0,72410.0,2025-08-12T14:59:59.545545
2025-08-12,17,2025081203015040,MFIL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Infinity Securities Limited,683,695.0,474685.0,2025-08-12T14:59:59.532288
2025-08-12,18,2025081203015039,MFIL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Vision Securities Pvt. Ltd,78,695.0,54210.0,2025-08-12T14:59:59.532246
2025-08-12,19,2025081203015038,MFIL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Online Securities Pvt. Ltd.,170,694.8,118116.0,2025-08-12T14:59:59.532208
2025-08-12,20,2025081203015037,MFIL,Bhrikuti Stock Broking Co. Pvt. Ltd.,J.F. Securites (PVT) Ltd.,100,694.8,69480.0,2025-08-12T14:59:59.532168
2025-08-12,21,2025081203015036,MFIL,Bhrikuti Stock Broking Co. Pvt. Ltd.,R.B.B. Securities Company Ltd,300,694.8,208440.0,2025-08-12T14:59:59.532128
2025-08-12,22,2025081203015035,MFIL,Bhrikuti Stock Broking Co. Pvt. Ltd.,ABC Securities Private Limited,10,694.8,6948.0,2025-08-12T14:59:59.532094
2025-08-12,23,2025081203015034,MFIL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,100,694.5,69450.0,2025-08-12T14:59:59.532059
2025-08-12,24,2025081203015033,MFIL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Sani Securities Company Ltd.,300,694.0,208200.0,2025-08-12T14:59:59.532016
2025-08-12,25,2025081203015032,MFIL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,150,693.0,103950.0,2025-08-12T14:59:59.531975
2025-08-12,26,2025081203015031,MFIL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Swarna Laxmi Securities Pvt. Ltd.,59,692.0,40828.0,2025-08-12T14:59:59.531934
2025-08-12,27,2025081203015030,MFIL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Oxford Securities Pvt. Ltd.,550,691.0,380050.0,2025-08-12T14:59:59.531873
2025-08-12,28,2025081205026581,KBSH,ABC Securities Private Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,16,1940.0,31040.0,2025-08-12T14:59:59.528661
2025-08-12,29,2025081205026580,KBSH,Imperial Securities Company Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,21,1940.0,40740.0,2025-08-12T14:59:59.528624
2025-08-12,30,2025081205026579,KBSH,Aryatara Investment & Securities,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,1940.0,19400.0,2025-08-12T14:59:59.528593
2025-08-12,31,2025081205026578,KBSH,Naasa Securities Co. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,164,1940.0,318160.0,2025-08-12T14:59:59.528558
2025-08-12,32,2025081205026577,KBSH,Siprabi Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,50,1940.1,97005.0,2025-08-12T14:59:59.528495
2025-08-12,33,2025081204019808,UMHL,Sumeru Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,1000,592.5,592500.0,2025-08-12T14:59:59.461397
