Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount,Trade Time
2025-09-18,1,2025091805002197,BBC,South Asian Bulls Pvt. Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,10,4566.1,45661.0,2025-09-18T12:06:09.401732
2025-09-18,2,2025091804002342,MHNL,Naasa Securities Co. Ltd.,Capital Max Securities Ltd,80,235.3,18824.0,2025-09-18T12:06:09.290565
2025-09-18,3,2025091805002196,RNLI,Trisul Securities & Invt. Ltd.,Secured Securities Ltd.,12,424.0,5088.0,2025-09-18T12:06:09.260209
2025-09-18,4,2025091804002341,RADHI,Aryatara Investment & Securities,Sharepro Securities Private Limited,100,709.0,70900.0,2025-09-18T12:06:09.247465
2025-09-18,5,2025091805002195,BHL,Nepal Stock House (PVT) Ltd.,Stoxkarts Securities Limited,20,167.0,3340.0,2025-09-18T12:06:09.052496
2025-09-18,6,2025091804002340,SPDL,Trishakti Securities Public Limited,Primo Securities (PVT) Ltd.,800,362.4,289920.0,2025-09-18T12:06:09.016499
2025-09-18,7,2025091803001111,NFS,Naasa Securities Co. Ltd.,Online Securities Pvt. Ltd.,10,605.0,6050.0,2025-09-18T12:06:09.009009
2025-09-18,8,2025091801001785,KBL,Trishakti Securities Public Limited,Aryatara Investment & Securities,160,179.0,28640.0,2025-09-18T12:06:08.964611
2025-09-18,9,2025091804002339,SHL,Naasa Securities Co. Ltd.,Sweta Securities Private Limited,100,489.9,48990.0,2025-09-18T12:06:08.868225
2025-09-18,10,2025091804002338,BPCL,Deevyaa Securities & Stock House Pvt. Ltd,Kumari Securities Private Limited,50,727.1,36355.0,2025-09-18T12:06:08.857213
2025-09-18,11,2025091803001110,JBBL,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,10,309.0,3090.0,2025-09-18T12:06:08.833649
2025-09-18,12,2025091805002194,HDL,Imperial Securities Company Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,10,1298.0,12980.0,2025-09-18T12:06:08.814106
2025-09-18,13,2025091803001109,CBBL,Sewa Securities Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,124,925.0,114700.0,2025-09-18T12:06:08.78002
2025-09-18,14,2025091805002193,HRL,Asian Securities Private Ltd.,Imperial Securities Company Pvt. Ltd.,56,878.0,49168.0,2025-09-18T12:06:08.564927
2025-09-18,15,2025091805002192,HRL,Asian Securities Private Ltd.,Siprabi Securities Pvt. Ltd.,32,878.0,28096.0,2025-09-18T12:06:08.563788
2025-09-18,16,2025091805002191,HRL,Asian Securities Private Ltd.,Vision Securities Pvt. Ltd,12,878.0,10536.0,2025-09-18T12:06:08.562459
2025-09-18,17,2025091801001784,NMIC,KALASH STOCK MARKET PVT. LTD.,Premier Securities Company Ltd.,20,1080.0,21600.0,2025-09-18T12:06:08.549414
