Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount,Trade Time
2025-09-24,1,2025092401011630,NICA,South Asian Bulls Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,41,334.0,13694.0,2025-09-24T14:59:59.921289
2025-09-24,2,2025092401011629,NICA,South Asian Bulls Pvt. Ltd.,Secured Securities Ltd.,131,334.0,43754.0,2025-09-24T14:59:59.921251
2025-09-24,3,2025092401011628,NICA,South Asian Bulls Pvt. Ltd.,J.F. Securites (PVT) Ltd.,10,333.9,3339.0,2025-09-24T14:59:59.921226
2025-09-24,4,2025092401011627,NICA,South Asian Bulls Pvt. Ltd.,Naasa Securities Co. Ltd.,20,333.9,6678.0,2025-09-24T14:59:59.921203
2025-09-24,5,2025092401011626,NICA,South Asian Bulls Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,298,333.0,99234.0,2025-09-24T14:59:59.921135
2025-09-24,6,2025092403007902,GFCL,J.F. Securites (PVT) Ltd.,Vision Securities Pvt. Ltd,83,629.0,52207.0,2025-09-24T14:59:59.918531
2025-09-24,7,2025092403007901,GFCL,J.F. Securites (PVT) Ltd.,Siprabi Securities Pvt. Ltd.,100,628.0,62800.0,2025-09-24T14:59:59.918506
2025-09-24,8,2025092403007900,GFCL,J.F. Securites (PVT) Ltd.,Market Securities & Exchange (PVT) Ltd.,90,625.0,56250.0,2025-09-24T14:59:59.918479
2025-09-24,9,2025092403007899,GFCL,J.F. Securites (PVT) Ltd.,Naasa Securities Co. Ltd.,133,622.3,82765.9,2025-09-24T14:59:59.918452
2025-09-24,10,2025092403007898,GFCL,J.F. Securites (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,120,622.0,74640.0,2025-09-24T14:59:59.91843
2025-09-24,11,2025092403007897,GFCL,J.F. Securites (PVT) Ltd.,ABC Securities Private Limited,200,622.0,124400.0,2025-09-24T14:59:59.918386
2025-09-24,12,2025092403007896,GFCL,J.F. Securites (PVT) Ltd.,Capital Max Securities Ltd,175,619.0,108325.0,2025-09-24T14:59:59.91836
2025-09-24,13,2025092403007895,GFCL,J.F. Securites (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,109,618.0,67362.0,2025-09-24T14:59:59.918332
2025-09-24,14,2025092403007894,GFCL,J.F. Securites (PVT) Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,990,618.0,611820.0,2025-09-24T14:59:59.918293
2025-09-24,15,2025092405016448,MEL,Investment Management Nepal Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,291.0,2910.0,2025-09-24T14:59:59.899067
2025-09-24,16,2025092405016447,BHDC,Linch Stock Market Ltd.,Sagarmatha Securities Private Limited,10,588.9,5889.0,2025-09-24T14:59:59.858284
2025-09-24,17,2025092405016446,USHEC,Vision Securities Pvt. Ltd,Premier Securities Company Ltd.,500,498.0,249000.0,2025-09-24T14:59:59.838881
2025-09-24,18,2025092405016445,USHEC,Vision Securities Pvt. Ltd,Midas Stock Broking Company Private Limited,250,498.0,124500.0,2025-09-24T14:59:59.838843
2025-09-24,19,2025092405016444,USHEC,Vision Securities Pvt. Ltd,Online Securities Pvt. Ltd.,10,498.0,4980.0,2025-09-24T14:59:59.838807
2025-09-24,20,2025092405016443,USHEC,Vision Securities Pvt. Ltd,ABC Securities Private Limited,200,498.0,99600.0,2025-09-24T14:59:59.838777
2025-09-24,21,2025092405016442,USHEC,Vision Securities Pvt. Ltd,Miyo Securities Pvt Ltd,100,497.7,49770.0,2025-09-24T14:59:59.838744
2025-09-24,22,2025092405016441,USHEC,Vision Securities Pvt. Ltd,Vision Securities Pvt. Ltd,500,496.5,248250.0,2025-09-24T14:59:59.838704
