Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount,Trade Time
2025-08-28,1,2025082803014178,KSBBL,Deevyaa Securities & Stock House Pvt. Ltd,KALASH STOCK MARKET PVT. LTD.,830,527.0,437410.0,2025-08-28T14:59:59.946812
2025-08-28,2,2025082803014177,KSBBL,Sumeru Securities Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,20,527.1,10542.0,2025-08-28T14:59:59.946702
2025-08-28,3,2025082803014176,KSBBL,BHOLE GANESH SECURITIES LTD,KALASH STOCK MARKET PVT. LTD.,300,527.1,158130.0,2025-08-28T14:59:59.946594
2025-08-28,4,2025082803014175,KSBBL,Siprabi Securities Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,50,527.1,26355.0,2025-08-28T14:59:59.946508
2025-08-28,5,2025082803014174,KSBBL,Cristal Kanchanjanga Securites Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,1000,527.2,527200.0,2025-08-28T14:59:59.946424
2025-08-28,6,2025082803014173,KSBBL,Asian Securities Private Ltd.,KALASH STOCK MARKET PVT. LTD.,100,527.2,52720.0,2025-08-28T14:59:59.946182
2025-08-28,7,2025082803014172,BFC,Blue Chip Securities Ltd,Trishakti Securities Public Limited,10,499.0,4990.0,2025-08-28T14:59:59.854543
2025-08-28,8,2025082805027760,NRM,Trisul Securities & Invt. Ltd.,Infinity Securities Limited,10,537.0,5370.0,2025-08-28T14:59:59.839992
2025-08-28,9,2025082805027759,SMATA,Trishakti Securities Public Limited,Property Wiard Limited,20,985.0,19700.0,2025-08-28T14:59:59.678593
2025-08-28,10,2025082805027758,HIDCL,Sumeru Securities Pvt. Ltd.,Trishakti Securities Public Limited,170,287.5,48875.0,2025-08-28T14:59:59.676779
2025-08-28,11,2025082805027757,BHL,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,50,198.3,9915.0,2025-08-28T14:59:59.669713
2025-08-28,12,2025082801016204,KBL,Online Securities Pvt. Ltd.,Sundhara Securities Limited,430,201.0,86430.0,2025-08-28T14:59:59.661815
2025-08-28,13,2025082801016203,KBL,Siprabi Securities Pvt. Ltd.,Sundhara Securities Limited,100,201.0,20100.0,2025-08-28T14:59:59.661425
2025-08-28,14,2025082804020236,HPPL,Sundhara Securities Limited,Sewa Securities Pvt. Ltd.,50,493.9,24695.0,2025-08-28T14:59:59.658425
2025-08-28,15,2025082804020235,PMHPL,Naasa Securities Co. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,10,399.0,3990.0,2025-08-28T14:59:59.623118
2025-08-28,16,2025082804020234,SHL,Imperial Securities Company Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,500,561.5,280750.0,2025-08-28T14:59:59.619698
2025-08-28,17,2025082804020233,UNHPL,Secured Securities Ltd.,Sani Securities Company Ltd.,84,391.2,32860.8,2025-08-28T14:59:59.541429
2025-08-28,18,2025082804020232,UNHPL,ABC Securities Private Limited,Sani Securities Company Ltd.,416,391.2,162739.2,2025-08-28T14:59:59.541392
2025-08-28,19,2025082804020231,RADHI,Sumeru Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,39,760.1,29643.9,2025-08-28T14:59:59.523982
2025-08-28,20,2025082804020230,RADHI,Property Wiard Limited,Agrawal Securities (PVT) Ltd.,131,760.1,99573.1,2025-08-28T14:59:59.523606
2025-08-28,21,2025082804020229,AKPL,Citizens Share Broker Limited,Agrawal Securities (PVT) Ltd.,100,268.5,26850.0,2025-08-28T14:59:59.52038
2025-08-28,22,2025082803014171,NLIC,Naasa Securities Co. Ltd.,Asian Securities Private Ltd.,10,784.5,7845.0,2025-08-28T14:59:59.450248
2025-08-28,23,2025082805027756,SMHL,Investment Management Nepal Pvt. Ltd.,Trishakti Securities Public Limited,10,914.0,9140.0,2025-08-28T14:59:59.43959
2025-08-28,24,2025082805027755,MHL,SHUBHAKAMANA SECURITIES PVT. LTD,Infinity Securities Limited,90,522.0,46980.0,2025-08-28T14:59:59.395269
2025-08-28,25,2025082803014170,ALBSL,Sewa Securities Pvt. Ltd.,Secured Securities Ltd.,66,1024.0,67584.0,2025-08-28T14:59:59.389397
2025-08-28,26,2025082803014169,ALBSL,Sewa Securities Pvt. Ltd.,Secured Securities Ltd.,40,1024.0,40960.0,2025-08-28T14:59:59.389376
2025-08-28,27,2025082803014168,ALBSL,Sewa Securities Pvt. Ltd.,Trisul Securities & Invt. Ltd.,24,1023.9,24573.6,2025-08-28T14:59:59.389341
2025-08-28,28,2025082803014167,ALBSL,Sewa Securities Pvt. Ltd.,ABC Securities Private Limited,100,1021.0,102100.0,2025-08-28T14:59:59.389318
2025-08-28,29,2025082803014166,ALBSL,Sewa Securities Pvt. Ltd.,Kalika Securities Pvt. Ltd.,100,1021.0,102100.0,2025-08-28T14:59:59.389296
2025-08-28,30,2025082803014165,ALBSL,Sewa Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,20,1021.0,20420.0,2025-08-28T14:59:59.389245
2025-08-28,31,2025082803014164,EDBL,Dynamic Money Managers Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,70,650.0,45500.0,2025-08-28T14:59:59.385117
2025-08-28,32,2025082805027754,HATHY,Nagarik Stock Dealer ,Sundhara Securities Limited,47,1264.9,59450.3,2025-08-28T14:59:59.376376
2025-08-28,33,2025082805027753,HATHY,Nagarik Stock Dealer ,Creative Securities Pvt Ltd,53,1264.9,67039.7,2025-08-28T14:59:59.376336
2025-08-28,34,2025082805027752,USHEC,Arun Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,100,475.0,47500.0,2025-08-28T14:59:59.368048
2025-08-28,35,2025082805027751,USHEC,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,100,475.1,47510.0,2025-08-28T14:59:59.367995
2025-08-28,36,2025082805027750,USHEC,Sani Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,50,475.1,23755.0,2025-08-28T14:59:59.367893
2025-08-28,37,2025082803014163,SMPDA,Sharepro Securities Private Limited,Imperial Securities Company Pvt. Ltd.,90,947.0,85230.0,2025-08-28T14:59:59.358505
2025-08-28,38,2025082803014162,SMPDA,Capital Max Securities Ltd,Imperial Securities Company Pvt. Ltd.,100,947.0,94700.0,2025-08-28T14:59:59.358442
2025-08-28,39,2025082803014161,SMPDA,Capital Max Securities Ltd,Imperial Securities Company Pvt. Ltd.,10,947.1,9471.0,2025-08-28T14:59:59.358317
2025-08-28,40,2025082804020228,SHEL,Imperial Securities Company Pvt. Ltd.,Secured Securities Ltd.,500,308.0,154000.0,2025-08-28T14:59:59.353646
2025-08-28,41,2025082804020227,RADHI,Property Wiard Limited,Oxford Securities Pvt. Ltd.,690,760.1,524469.0,2025-08-28T14:59:59.348187
2025-08-28,42,2025082804020226,RADHI,Sumeru Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,10,761.0,7610.0,2025-08-28T14:59:59.347973
2025-08-28,43,2025082801016202,SNLI,Sundhara Securities Limited,Aryatara Investment & Securities,20,472.9,9458.0,2025-08-28T14:59:59.330049
2025-08-28,44,2025082801016201,CITY,Naasa Securities Co. Ltd.,Sharepro Securities Private Limited,290,602.0,174580.0,2025-08-28T14:59:59.311707
2025-08-28,45,2025082801016200,CITY,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sharepro Securities Private Limited,10,602.5,6025.0,2025-08-28T14:59:59.311435
2025-08-28,46,2025082805027749,SHIVM,Capital Max Securities Ltd,Kohinoor Investment & Securities Pvt. Ltd.,10,626.0,6260.0,2025-08-28T14:59:59.279093
2025-08-28,47,2025082805027748,GVL,Naasa Securities Co. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,66,569.0,37554.0,2025-08-28T14:59:59.270325
