Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount,Trade Time
2025-08-20,1,2025082001010780,NWCL,Naasa Securities Co. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,10,899.0,8990.0,2025-08-20T14:59:59.968853
2025-08-20,2,2025082001010779,NWCL,Naasa Securities Co. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,10,895.0,8950.0,2025-08-20T14:59:59.968814
2025-08-20,3,2025082001010778,NWCL,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,10,895.0,8950.0,2025-08-20T14:59:59.968773
2025-08-20,4,2025082001010777,NWCL,Naasa Securities Co. Ltd.,Sri Hari Securities Pvt. Ltd.,10,895.0,8950.0,2025-08-20T14:59:59.968732
2025-08-20,5,2025082001010776,NWCL,Naasa Securities Co. Ltd.,J.F. Securites (PVT) Ltd.,10,890.0,8900.0,2025-08-20T14:59:59.968642
2025-08-20,6,2025082001010775,LSL,Nepal Stock House (PVT) Ltd.,Agrawal Securities (PVT) Ltd.,238,237.6,56548.8,2025-08-20T14:59:59.91746
2025-08-20,7,2025082001010774,LSL,Nepal Stock House (PVT) Ltd.,Vision Securities Pvt. Ltd,745,237.6,177012.0,2025-08-20T14:59:59.917217
2025-08-20,8,2025082005019420,SPC,Thrive Brokerage House Pvt. Ltd,Siprabi Securities Pvt. Ltd.,80,534.0,42720.0,2025-08-20T14:59:59.818257
2025-08-20,9,2025082005019419,SPC,Naasa Securities Co. Ltd.,Siprabi Securities Pvt. Ltd.,100,534.0,53400.0,2025-08-20T14:59:59.818098
2025-08-20,10,2025082005019418,SPC,Kohinoor Investment & Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,10,534.0,5340.0,2025-08-20T14:59:59.81792
2025-08-20,11,2025082005019417,SPC,Primo Securities (PVT) Ltd.,Siprabi Securities Pvt. Ltd.,200,534.0,106800.0,2025-08-20T14:59:59.817752
2025-08-20,12,2025082005019416,SPC,Sani Securities Company Ltd.,Siprabi Securities Pvt. Ltd.,100,534.0,53400.0,2025-08-20T14:59:59.817552
2025-08-20,13,2025082005019415,SPC,Trishakti Securities Public Limited,Siprabi Securities Pvt. Ltd.,10,536.0,5360.0,2025-08-20T14:59:59.817212
2025-08-20,14,2025082005019414,MAKAR,Nepal Stock House (PVT) Ltd.,R.B.B. Securities Company Ltd,10,620.0,6200.0,2025-08-20T14:59:59.753325
2025-08-20,15,2025082004015248,SGIC,Imperial Securities Company Pvt. Ltd.,Thrive Brokerage House Pvt. Ltd,50,567.8,28390.0,2025-08-20T14:59:59.686854
2025-08-20,16,2025082005019413,HIDCL,Vision Securities Pvt. Ltd,Kumari Securities Private Limited,72,286.2,20606.4,2025-08-20T14:59:59.636329
2025-08-20,17,2025082003008364,MDB,Dakshinkali Investment & Securities Pvt. Ltd.,SUN SECURITIES PVT LTD,170,626.0,106420.0,2025-08-20T14:59:59.536959
2025-08-20,18,2025082004015247,UMHL,Sani Securities Company Ltd.,Linch Stock Market Ltd.,298,571.0,170158.0,2025-08-20T14:59:59.513215
2025-08-20,19,2025082004015246,UMHL,Nepal Stock House (PVT) Ltd.,Linch Stock Market Ltd.,397,572.0,227084.0,2025-08-20T14:59:59.51298
2025-08-20,20,2025082004015245,SSHL,Sumeru Securities Pvt. Ltd.,Aryatara Investment & Securities,110,194.9,21439.0,2025-08-20T14:59:59.429264
2025-08-20,21,2025082001010773,CITY,Sumeru Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,10,605.4,6054.0,2025-08-20T14:59:59.426149
2025-08-20,22,2025082004015244,UMHL,Trisul Securities & Invt. Ltd.,Naasa Securities Co. Ltd.,10,573.0,5730.0,2025-08-20T14:59:59.388282
2025-08-20,23,2025082003008363,CORBL,Trisul Securities & Invt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,40,1989.0,79560.0,2025-08-20T14:59:59.380359
2025-08-20,24,2025082003008362,CORBL,Trisul Securities & Invt. Ltd.,Vision Securities Pvt. Ltd,50,1989.0,99450.0,2025-08-20T14:59:59.380328
2025-08-20,25,2025082003008361,CORBL,Trisul Securities & Invt. Ltd.,Creative Securities Pvt Ltd,10,1988.0,19880.0,2025-08-20T14:59:59.380269
2025-08-20,26,2025082005019412,NRIC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,70,1569.9,109893.0,2025-08-20T14:59:59.272166
2025-08-20,27,2025082005019411,NIFRA,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Vision Securities Pvt. Ltd,10,281.0,2810.0,2025-08-20T14:59:59.269883
2025-08-20,28,2025082003008360,GFCL,Aryatara Investment & Securities,ABC Securities Private Limited,150,640.0,96000.0,2025-08-20T14:59:59.234156
2025-08-20,29,2025082003008359,GFCL,Capital Max Securities Ltd,ABC Securities Private Limited,34,640.0,21760.0,2025-08-20T14:59:59.233994
2025-08-20,30,2025082005019410,SPC,Naasa Securities Co. Ltd.,Sharepro Securities Private Limited,60,534.0,32040.0,2025-08-20T14:59:59.143266
2025-08-20,31,2025082005019409,SPC,Aryatara Investment & Securities,Sharepro Securities Private Limited,125,534.0,66750.0,2025-08-20T14:59:59.143202
2025-08-20,32,2025082005019408,SPC,Trishakti Securities Public Limited,Sharepro Securities Private Limited,10,535.0,5350.0,2025-08-20T14:59:59.143042
2025-08-20,33,2025082005019407,SHIVM,Dynamic Money Managers Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,100,621.0,62100.0,2025-08-20T14:59:59.044076
2025-08-20,34,2025082003008358,FOWAD,Aryatara Investment & Securities,Deevyaa Securities & Stock House Pvt. Ltd,3,1136.1,3408.3,2025-08-20T14:59:58.796567
2025-08-20,35,2025082004015243,AHPC,Aryatara Investment & Securities,Aryatara Investment & Securities,50,297.0,14850.0,2025-08-20T14:59:58.78275
2025-08-20,36,2025082004015242,AHPC,Aryatara Investment & Securities,J.F. Securites (PVT) Ltd.,10,297.0,2970.0,2025-08-20T14:59:58.782559
2025-08-20,37,2025082004015241,AHPC,Aryatara Investment & Securities,Deevyaa Securities & Stock House Pvt. Ltd,136,297.0,40392.0,2025-08-20T14:59:58.782128
2025-08-20,38,2025082005019406,NRN,Himalayan Brokerage Company Limited,Thrive Brokerage House Pvt. Ltd,100,2194.4,219440.0,2025-08-20T14:59:58.758248
2025-08-20,39,2025082004015240,UMHL,Nepal Stock House (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,93,572.0,53196.0,2025-08-20T14:59:58.751955
2025-08-20,40,2025082004015239,UMHL,Nepal Stock House (PVT) Ltd.,Nepal Investment And Securities Trading Private Limited,510,572.0,291720.0,2025-08-20T14:59:58.751645
2025-08-20,41,2025082004015238,SPDL,Midas Stock Broking Company Private Limited,Sundhara Securities Limited,10,402.9,4029.0,2025-08-20T14:59:58.539855
2025-08-20,42,2025082005019405,HIDCL,Nepal Stock House (PVT) Ltd.,Online Securities Pvt. Ltd.,844,286.8,242059.2,2025-08-20T14:59:58.508161
2025-08-20,43,2025082003008357,GBLBS,Trishakti Securities Public Limited,Online Securities Pvt. Ltd.,15,796.1,11941.5,2025-08-20T14:59:58.489715
2025-08-20,44,2025082003008356,GBLBS,Dakshinkali Investment & Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,25,796.2,19905.0,2025-08-20T14:59:58.489651
2025-08-20,45,2025082003008355,GBLBS,Premier Securities Company Ltd.,Online Securities Pvt. Ltd.,10,797.0,7970.0,2025-08-20T14:59:58.489538
2025-08-20,46,2025082003008354,SLBSL,Sani Securities Company Ltd.,Sri Hari Securities Pvt. Ltd.,100,1490.0,149000.0,2025-08-20T14:59:58.417432
2025-08-20,47,2025082004015237,DHPL,Sani Securities Company Ltd.,Asian Securities Private Ltd.,300,323.0,96900.0,2025-08-20T14:59:58.348716
2025-08-20,48,2025082004015236,DHPL,Trisul Securities & Invt. Ltd.,Asian Securities Private Ltd.,30,323.1,9693.0,2025-08-20T14:59:58.348691
2025-08-20,49,2025082004015235,DHPL,Trisul Securities & Invt. Ltd.,Asian Securities Private Ltd.,20,323.1,6462.0,2025-08-20T14:59:58.348664
2025-08-20,50,2025082004015234,DHPL,Thrive Brokerage House Pvt. Ltd,Asian Securities Private Ltd.,100,323.2,32320.0,2025-08-20T14:59:58.348637
2025-08-20,51,2025082004015233,DHPL,Thrive Brokerage House Pvt. Ltd,Asian Securities Private Ltd.,100,323.3,32330.0,2025-08-20T14:59:58.348608
2025-08-20,52,2025082004015232,DHPL,Investment Management Nepal Pvt. Ltd.,Asian Securities Private Ltd.,200,323.4,64680.0,2025-08-20T14:59:58.348578
2025-08-20,53,2025082004015231,DHPL,Imperial Securities Company Pvt. Ltd.,Asian Securities Private Ltd.,200,323.4,64680.0,2025-08-20T14:59:58.348545
2025-08-20,54,2025082004015230,DHPL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Asian Securities Private Ltd.,10,324.0,3240.0,2025-08-20T14:59:58.34852
2025-08-20,55,2025082004015229,DHPL,Neev Securities Pvt. Ltd.,Asian Securities Private Ltd.,200,324.0,64800.0,2025-08-20T14:59:58.348495
2025-08-20,56,2025082004015228,DHPL,Investment Management Nepal Pvt. Ltd.,Asian Securities Private Ltd.,100,324.0,32400.0,2025-08-20T14:59:58.348467
2025-08-20,57,2025082004015227,DHPL,Naasa Securities Co. Ltd.,Asian Securities Private Ltd.,100,324.0,32400.0,2025-08-20T14:59:58.348433
2025-08-20,58,2025082004015226,DHPL,Trisul Securities & Invt. Ltd.,Asian Securities Private Ltd.,39,324.0,12636.0,2025-08-20T14:59:58.348401
2025-08-20,59,2025082004015225,DHPL,Aryatara Investment & Securities,Asian Securities Private Ltd.,100,325.0,32500.0,2025-08-20T14:59:58.348371
2025-08-20,60,2025082004015224,DHPL,Kohinoor Investment & Securities Pvt. Ltd.,Asian Securities Private Ltd.,100,325.0,32500.0,2025-08-20T14:59:58.348329
2025-08-20,61,2025082003008353,VLBS,Capital Max Securities Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,19,839.5,15950.5,2025-08-20T14:59:58.304329
2025-08-20,62,2025082003008352,VLBS,Capital Max Securities Ltd,Market Securities & Exchange (PVT) Ltd.,31,839.0,26009.0,2025-08-20T14:59:58.30425
2025-08-20,63,2025082003008351,ILBS,Capital Max Securities Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,10,1223.9,12239.0,2025-08-20T14:59:58.303421
2025-08-20,64,2025082003008350,LBBL,Capital Hub P. Ltd,Naasa Securities Co. Ltd.,100,532.1,53210.0,2025-08-20T14:59:58.259285
2025-08-20,65,2025082005019404,DOLTI,Oxford Securities Pvt. Ltd.,Creative Securities Pvt Ltd,185,585.1,108243.5,2025-08-20T14:59:58.25365
2025-08-20,66,2025082005019403,DOLTI,Capital Max Securities Ltd,Creative Securities Pvt Ltd,40,585.5,23420.0,2025-08-20T14:59:58.253609
2025-08-20,67,2025082005019402,DOLTI,Naasa Securities Co. Ltd.,Creative Securities Pvt Ltd,70,585.7,40999.0,2025-08-20T14:59:58.253566
2025-08-20,68,2025082005019401,DOLTI,Naasa Securities Co. Ltd.,Creative Securities Pvt Ltd,10,585.8,5858.0,2025-08-20T14:59:58.253512
2025-08-20,69,2025082005019400,DOLTI,Online Securities Pvt. Ltd.,Creative Securities Pvt Ltd,35,586.0,20510.0,2025-08-20T14:59:58.253334
2025-08-20,70,2025082004015223,UMHL,Sani Securities Company Ltd.,Creative Securities Pvt Ltd,502,571.0,286642.0,2025-08-20T14:59:58.250676
2025-08-20,71,2025082004015222,UMHL,Linch Stock Market Ltd.,Creative Securities Pvt Ltd,20,571.0,11420.0,2025-08-20T14:59:58.250557
2025-08-20,72,2025082004015221,UMHL,Aakashbhairab Securities Ltd.,Creative Securities Pvt Ltd,100,571.0,57100.0,2025-08-20T14:59:58.250447
2025-08-20,73,2025082004015220,UMHL,Thrive Brokerage House Pvt. Ltd,Creative Securities Pvt Ltd,578,571.9,330558.2,2025-08-20T14:59:58.250165
2025-08-20,74,2025082005019399,RAWA,Agrawal Securities (PVT) Ltd.,Capital Max Securities Ltd,10,777.0,7770.0,2025-08-20T14:59:58.22137
