Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount,Trade Time
2025-08-18,1,2025081801014014,SAMAJ,Capital Max Securities Ltd,J.F. Securites (PVT) Ltd.,10,2852.0,28520.0,2025-08-18T15:00:00.003995
2025-08-18,2,2025081803010115,SMB,Imperial Securities Company Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,10,2339.0,23390.0,2025-08-18T14:59:59.982826
2025-08-18,3,2025081803010114,LBBL,Imperial Securities Company Pvt. Ltd.,Himalayan Brokerage Company Limited,300,535.2,160560.0,2025-08-18T14:59:59.979433
2025-08-18,4,2025081804017919,RADHI,Hatemalo Financial Services Private Limited,Prabhu Stock Market Limited,30,775.0,23250.0,2025-08-18T14:59:59.976036
2025-08-18,5,2025081803010113,MFIL,J.F. Securites (PVT) Ltd.,Premier Securities Company Ltd.,184,664.4,122249.6,2025-08-18T14:59:59.906234
2025-08-18,6,2025081803010112,MFIL,Sweta Securities Private Limited,Premier Securities Company Ltd.,16,664.4,10630.4,2025-08-18T14:59:59.906193
2025-08-18,7,2025081803010111,SINDU,Neev Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,10,758.1,7581.0,2025-08-18T14:59:59.767674
2025-08-18,8,2025081803010110,SINDU,Property Wiard Limited,Dakshinkali Investment & Securities Pvt. Ltd.,90,758.2,68238.0,2025-08-18T14:59:59.767487
2025-08-18,9,2025081801014013,CZBIL,South Asian Bulls Pvt. Ltd.,Vision Securities Pvt. Ltd,958,210.9,202042.2,2025-08-18T14:59:59.638922
2025-08-18,10,2025081801014012,CZBIL,South Asian Bulls Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,42,210.7,8849.4,2025-08-18T14:59:59.638596
2025-08-18,11,2025081805025911,HRL,KALASH STOCK MARKET PVT. LTD.,Indira securities pvt. ltd,20,1002.0,20040.0,2025-08-18T14:59:59.535422
