Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount,Trade Time
2025-09-25,1,2025092505012047,UHEWA,Nagarik Stock Dealer ,Sweta Securities Private Limited,50,599.2,29960.0,2025-09-25T14:59:59.924122
2025-09-25,2,2025092501009459,BHCL,Dynamic Money Managers Securities Pvt. Ltd.,Sani Securities Company Ltd.,10,459.0,4590.0,2025-09-25T14:59:59.913886
2025-09-25,3,2025092501009458,BHCL,Asian Securities Private Ltd.,Trisul Securities & Invt. Ltd.,200,461.0,92200.0,2025-09-25T14:59:59.888215
2025-09-25,4,2025092504009996,RHPL,Sipla Securities Private Limited,Dakshinkali Investment & Securities Pvt. Ltd.,250,288.0,72000.0,2025-09-25T14:59:59.883432
2025-09-25,5,2025092504009995,RHPL,Agrawal Securities (PVT) Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,50,288.1,14405.0,2025-09-25T14:59:59.883359
2025-09-25,6,2025092504009994,RHPL,Aryatara Investment & Securities,Dakshinkali Investment & Securities Pvt. Ltd.,100,288.2,28820.0,2025-09-25T14:59:59.883295
2025-09-25,7,2025092504009993,RHPL,Aryatara Investment & Securities,Dakshinkali Investment & Securities Pvt. Ltd.,100,288.3,28830.0,2025-09-25T14:59:59.883165
2025-09-25,8,2025092504009992,GLH,Naasa Securities Co. Ltd.,INDEX SECURITIES LIMITED,50,272.5,13625.0,2025-09-25T14:59:59.785089
2025-09-25,9,2025092501009457,SRLI,Thrive Brokerage House Pvt. Ltd,Shree Krishna Securities Ltd.,62,387.3,24012.6,2025-09-25T14:59:59.676233
2025-09-25,10,2025092501009456,SRLI,Sri Hari Securities Pvt. Ltd.,Shree Krishna Securities Ltd.,38,387.3,14717.4,2025-09-25T14:59:59.676088
2025-09-25,11,2025092504009991,UPCL,Ashutosh Brokerage & Securities (PVT) Ltd.,Sharepro Securities Private Limited,700,382.1,267470.0,2025-09-25T14:59:59.652223
2025-09-25,12,2025092501009455,SANIMA,Sundhara Securities Limited,Thrive Brokerage House Pvt. Ltd,1000,332.9,332900.0,2025-09-25T14:59:59.624488
2025-09-25,13,2025092501009454,PCBL,Siprabi Securities Pvt. Ltd.,Infinity Securities Limited,10,248.9,2489.0,2025-09-25T14:59:59.600571
2025-09-25,14,2025092501009453,PCBL,Siprabi Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,290,248.0,71920.0,2025-09-25T14:59:59.600529
2025-09-25,15,2025092505012046,BHPL,Linch Stock Market Ltd.,Kalika Securities Pvt. Ltd.,119,760.0,90440.0,2025-09-25T14:59:59.582261
2025-09-25,16,2025092505012045,BHPL,Linch Stock Market Ltd.,Trishakti Securities Public Limited,30,760.0,22800.0,2025-09-25T14:59:59.582228
2025-09-25,17,2025092505012044,BHPL,Linch Stock Market Ltd.,Thrive Brokerage House Pvt. Ltd,30,759.9,22797.0,2025-09-25T14:59:59.582167
2025-09-25,18,2025092505012043,MCHL,Opal Securities Investment (PVT) Ltd.,Thrive Brokerage House Pvt. Ltd,48,530.0,25440.0,2025-09-25T14:59:59.571017
2025-09-25,19,2025092504009990,AHPC,Capital Max Securities Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,100,292.0,29200.0,2025-09-25T14:59:59.546532
2025-09-25,20,2025092505012042,SPHL,Nepal Stock House (PVT) Ltd.,Capital Max Securities Ltd,20,537.0,10740.0,2025-09-25T14:59:59.514065
2025-09-25,21,2025092504009989,SHPC,Sharepro Securities Private Limited,Citizens Share Broker Limited,42,532.5,22365.0,2025-09-25T14:59:59.482877
2025-09-25,22,2025092504009988,SHPC,Sharepro Securities Private Limited,Sani Securities Company Ltd.,240,532.0,127680.0,2025-09-25T14:59:59.482852
2025-09-25,23,2025092504009987,SHPC,Sharepro Securities Private Limited,Sanima Securities Limited,218,532.0,115976.0,2025-09-25T14:59:59.482816
2025-09-25,24,2025092504009986,BPCL,Dynamic Money Managers Securities Pvt. Ltd.,K.B.L. Securities Limited ,10,758.0,7580.0,2025-09-25T14:59:59.476464
2025-09-25,25,2025092504009985,MHNL,Capital Max Securities Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,150,246.5,36975.0,2025-09-25T14:59:59.47403
2025-09-25,26,2025092503006060,MLBL,Vision Securities Pvt. Ltd,Kohinoor Investment & Securities Pvt. Ltd.,20,385.0,7700.0,2025-09-25T14:59:59.414832
2025-09-25,27,2025092504009984,UNHPL,ABC Securities Private Limited,Vision Securities Pvt. Ltd,10,470.9,4709.0,2025-09-25T14:59:59.401729
2025-09-25,28,2025092503006059,SAPDBL,Shree Krishna Securities Ltd.,Secured Securities Ltd.,50,857.9,42895.0,2025-09-25T14:59:59.396483
2025-09-25,29,2025092503006058,LBBL,Imperial Securities Company Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,100,506.0,50600.0,2025-09-25T14:59:59.380121
2025-09-25,30,2025092501009452,TTL,Trishakti Securities Public Limited,Imperial Securities Company Pvt. Ltd.,10,751.0,7510.0,2025-09-25T14:59:59.376925
2025-09-25,31,2025092504009983,CHL,Imperial Securities Company Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,10,267.2,2672.0,2025-09-25T14:59:59.373295
2025-09-25,32,2025092504009982,NGPL,Vision Securities Pvt. Ltd,Sagarmatha Securities Private Limited,500,389.9,194950.0,2025-09-25T14:59:59.357827
2025-09-25,33,2025092504009981,NGPL,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,12,389.9,4678.8,2025-09-25T14:59:59.357729
2025-09-25,34,2025092504009980,NGPL,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,1000,389.6,389600.0,2025-09-25T14:59:59.357631
2025-09-25,35,2025092504009979,NGPL,Vision Securities Pvt. Ltd,Dynamic Money Managers Securities Pvt. Ltd.,490,389.5,190855.0,2025-09-25T14:59:59.357529
2025-09-25,36,2025092504009978,NGPL,Vision Securities Pvt. Ltd,Sweta Securities Private Limited,100,389.4,38940.0,2025-09-25T14:59:59.35731
2025-09-25,37,2025092503006057,ILBS,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Primo Securities (PVT) Ltd.,26,1208.0,31408.0,2025-09-25T14:59:59.346031
2025-09-25,38,2025092503006056,ILBS,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,50,1207.0,60350.0,2025-09-25T14:59:59.345999
2025-09-25,39,2025092503006055,ILBS,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Vision Securities Pvt. Ltd,320,1207.0,386240.0,2025-09-25T14:59:59.345972
2025-09-25,40,2025092503006054,ILBS,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Secured Securities Ltd.,170,1207.0,205190.0,2025-09-25T14:59:59.345942
2025-09-25,41,2025092503006053,ILBS,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Online Securities Pvt. Ltd.,50,1206.0,60300.0,2025-09-25T14:59:59.345911
2025-09-25,42,2025092503006052,ILBS,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Nepal Stock House (PVT) Ltd.,12,1203.0,14436.0,2025-09-25T14:59:59.345882
2025-09-25,43,2025092503006051,ILBS,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Nepal Stock House (PVT) Ltd.,13,1201.9,15624.7,2025-09-25T14:59:59.345856
2025-09-25,44,2025092503006050,ILBS,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,SUN SECURITIES PVT LTD,150,1199.0,179850.0,2025-09-25T14:59:59.345823
2025-09-25,45,2025092503006049,ILBS,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Asian Securities Private Ltd.,19,1195.0,22705.0,2025-09-25T14:59:59.345787
2025-09-25,46,2025092503006048,ILBS,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sharepro Securities Private Limited,100,1194.0,119400.0,2025-09-25T14:59:59.345761
2025-09-25,47,2025092503006047,ILBS,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,KALASH STOCK MARKET PVT. LTD.,90,1185.0,106650.0,2025-09-25T14:59:59.345718
2025-09-25,48,2025092505012041,BHDC,Sri Hari Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,10,578.0,5780.0,2025-09-25T14:59:59.341341
2025-09-25,49,2025092504009977,GLH,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,494,273.9,135306.6,2025-09-25T14:59:59.338839
2025-09-25,50,2025092504009976,GLH,Naasa Securities Co. Ltd.,Neev Securities Pvt. Ltd.,500,273.8,136900.0,2025-09-25T14:59:59.33881
2025-09-25,51,2025092504009975,GLH,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,100,273.4,27340.0,2025-09-25T14:59:59.338782
2025-09-25,52,2025092504009974,GLH,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,206,273.0,56238.0,2025-09-25T14:59:59.33874
2025-09-25,53,2025092503006046,RSDC,Naasa Securities Co. Ltd.,Sewa Securities Pvt. Ltd.,10,659.9,6599.0,2025-09-25T14:59:59.328542
2025-09-25,54,2025092503006045,LBBL,Prabhu Stock Market Limited,Naasa Securities Co. Ltd.,1340,505.0,676700.0,2025-09-25T14:59:59.310655
2025-09-25,55,2025092501009451,PURE,Investment Management Nepal Pvt. Ltd.,Midas Stock Broking Company Private Limited,91,799.0,72709.0,2025-09-25T14:59:59.285072
2025-09-25,56,2025092501009450,PURE,Investment Management Nepal Pvt. Ltd.,Swarna Laxmi Securities Pvt. Ltd.,10,797.9,7979.0,2025-09-25T14:59:59.285019
2025-09-25,57,2025092501009449,PURE,Investment Management Nepal Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,797.7,7977.0,2025-09-25T14:59:59.284973
