Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount,Trade Time
2025-09-28,1,2025092803005013,USLB,Vision Securities Pvt. Ltd,Online Securities Pvt. Ltd.,136,1846.0,251056.0,2025-09-28T14:59:59.980896
2025-09-28,2,2025092804008976,KPCL,Naasa Securities Co. Ltd.,Agrawal Securities (PVT) Ltd.,50,602.0,30100.0,2025-09-28T14:59:59.963697
2025-09-28,3,2025092804008975,KPCL,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,50,592.0,29600.0,2025-09-28T14:59:59.963655
2025-09-28,4,2025092804008974,UPPER,Kohinoor Investment & Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,500,189.0,94500.0,2025-09-28T14:59:59.94742
2025-09-28,5,2025092803005012,SIFC,Aryatara Investment & Securities,Kohinoor Investment & Securities Pvt. Ltd.,10,510.0,5100.0,2025-09-28T14:59:59.926204
2025-09-28,6,2025092805010797,PPL,South Asian Bulls Pvt. Ltd.,Secured Securities Ltd.,287,309.8,88912.6,2025-09-28T14:59:59.892277
2025-09-28,7,2025092805010796,PPL,Naasa Securities Co. Ltd.,Secured Securities Ltd.,10,311.0,3110.0,2025-09-28T14:59:59.892176
2025-09-28,8,2025092805010795,BGWT,KALASH STOCK MARKET PVT. LTD.,KALASH STOCK MARKET PVT. LTD.,141,940.9,132666.9,2025-09-28T14:59:59.89024
2025-09-28,9,2025092805010794,BGWT,KALASH STOCK MARKET PVT. LTD.,Online Securities Pvt. Ltd.,100,940.0,94000.0,2025-09-28T14:59:59.890205
2025-09-28,10,2025092805010793,BGWT,KALASH STOCK MARKET PVT. LTD.,Naasa Securities Co. Ltd.,10,940.0,9400.0,2025-09-28T14:59:59.89018
2025-09-28,11,2025092805010792,BGWT,KALASH STOCK MARKET PVT. LTD.,Aryatara Investment & Securities,29,939.0,27231.0,2025-09-28T14:59:59.890142
2025-09-28,12,2025092805010791,BGWT,KALASH STOCK MARKET PVT. LTD.,Sani Securities Company Ltd.,13,939.0,12207.0,2025-09-28T14:59:59.890119
2025-09-28,13,2025092805010790,BGWT,KALASH STOCK MARKET PVT. LTD.,KALASH STOCK MARKET PVT. LTD.,100,938.0,93800.0,2025-09-28T14:59:59.89008
2025-09-28,14,2025092805010789,BGWT,KALASH STOCK MARKET PVT. LTD.,Asian Securities Private Ltd.,50,935.0,46750.0,2025-09-28T14:59:59.89002
2025-09-28,15,2025092805010788,BGWT,KALASH STOCK MARKET PVT. LTD.,Neev Securities Pvt. Ltd.,20,934.9,18698.0,2025-09-28T14:59:59.889991
2025-09-28,16,2025092805010787,BGWT,KALASH STOCK MARKET PVT. LTD.,Neev Securities Pvt. Ltd.,11,933.1,10264.1,2025-09-28T14:59:59.889964
2025-09-28,17,2025092805010786,BGWT,KALASH STOCK MARKET PVT. LTD.,Nagarik Stock Dealer ,100,932.9,93290.0,2025-09-28T14:59:59.889939
2025-09-28,18,2025092805010785,BGWT,KALASH STOCK MARKET PVT. LTD.,Nagarik Stock Dealer ,100,932.9,93290.0,2025-09-28T14:59:59.889914
2025-09-28,19,2025092805010784,BGWT,KALASH STOCK MARKET PVT. LTD.,Nagarik Stock Dealer ,100,932.9,93290.0,2025-09-28T14:59:59.889881
2025-09-28,20,2025092805010783,BGWT,KALASH STOCK MARKET PVT. LTD.,Nagarik Stock Dealer ,100,932.9,93290.0,2025-09-28T14:59:59.889831
2025-09-28,21,2025092805010782,BGWT,KALASH STOCK MARKET PVT. LTD.,Nagarik Stock Dealer ,66,932.9,61571.4,2025-09-28T14:59:59.889803
2025-09-28,22,2025092805010781,BGWT,KALASH STOCK MARKET PVT. LTD.,Nepal Stock House (PVT) Ltd.,50,932.0,46600.0,2025-09-28T14:59:59.889774
2025-09-28,23,2025092805010780,BGWT,KALASH STOCK MARKET PVT. LTD.,Naasa Securities Co. Ltd.,10,932.0,9320.0,2025-09-28T14:59:59.889731
2025-09-28,24,2025092804008973,AHPC,Naasa Securities Co. Ltd.,Siprabi Securities Pvt. Ltd.,10,295.6,2956.0,2025-09-28T14:59:59.804849
2025-09-28,25,2025092804008972,SHEL,Midas Stock Broking Company Private Limited,MILKY WAY SHARE BROKER COMPANY LTD ,218,297.0,64746.0,2025-09-28T14:59:59.732817
2025-09-28,26,2025092805010779,SMATA,Trishakti Securities Public Limited,Asian Securities Private Ltd.,10,937.0,9370.0,2025-09-28T14:59:59.721601
2025-09-28,27,2025092803005011,GMFIL,Creative Securities Pvt Ltd,APPLE SECURITIES PRIVATE LIMITED,10,474.0,4740.0,2025-09-28T14:59:59.699713
2025-09-28,28,2025092803005010,NABBC,Vision Securities Pvt. Ltd,Siprabi Securities Pvt. Ltd.,36,784.0,28224.0,2025-09-28T14:59:59.651801
2025-09-28,29,2025092804008971,UMHL,Capital Max Securities Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,260,554.6,144196.0,2025-09-28T14:59:59.630588
2025-09-28,30,2025092804008970,UMHL,Capital Max Securities Ltd,Kohinoor Investment & Securities Pvt. Ltd.,40,552.3,22092.0,2025-09-28T14:59:59.630542
2025-09-28,31,2025092805010778,AHL,Vision Securities Pvt. Ltd,Vision Securities Pvt. Ltd,10,662.0,6620.0,2025-09-28T14:59:59.629085
2025-09-28,32,2025092805010777,SONA,Investment Management Nepal Pvt. Ltd.,Premier Securities Company Ltd.,20,438.8,8776.0,2025-09-28T14:59:59.624398
2025-09-28,33,2025092805010776,SONA,Investment Management Nepal Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,10,438.0,4380.0,2025-09-28T14:59:59.62433
2025-09-28,34,2025092805010775,SONA,Investment Management Nepal Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,10,438.0,4380.0,2025-09-28T14:59:59.624254
2025-09-28,35,2025092805010774,SONA,Investment Management Nepal Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,10,437.8,4378.0,2025-09-28T14:59:59.624179
2025-09-28,36,2025092805010773,SONA,Investment Management Nepal Pvt. Ltd.,Sweta Securities Private Limited,10,437.8,4378.0,2025-09-28T14:59:59.624035
2025-09-28,37,2025092805010772,MCHL,Agrawal Securities (PVT) Ltd.,Nepal Investment And Securities Trading Private Limited,10,539.0,5390.0,2025-09-28T14:59:59.607605
2025-09-28,38,2025092805010771,MCHL,Agrawal Securities (PVT) Ltd.,Nepal Stock House (PVT) Ltd.,100,536.0,53600.0,2025-09-28T14:59:59.607566
2025-09-28,39,2025092805010770,MCHL,Agrawal Securities (PVT) Ltd.,J.F. Securites (PVT) Ltd.,50,535.5,26775.0,2025-09-28T14:59:59.607517
2025-09-28,40,2025092805010769,MCHL,Agrawal Securities (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,40,535.0,21400.0,2025-09-28T14:59:59.607467
2025-09-28,41,2025092805010768,MCHL,Agrawal Securities (PVT) Ltd.,Aryatara Investment & Securities,540,535.0,288900.0,2025-09-28T14:59:59.607437
2025-09-28,42,2025092805010767,MCHL,Agrawal Securities (PVT) Ltd.,Sagarmatha Securities Private Limited,50,532.5,26625.0,2025-09-28T14:59:59.607402
2025-09-28,43,2025092805010766,MCHL,Agrawal Securities (PVT) Ltd.,Siprabi Securities Pvt. Ltd.,10,532.5,5325.0,2025-09-28T14:59:59.607364
2025-09-28,44,2025092805010765,SANVI,Sri Hari Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,10,636.9,6369.0,2025-09-28T14:59:59.573502
2025-09-28,45,2025092804008969,CHCL,Dakshinkali Investment & Securities Pvt. Ltd.,Himalayan Brokerage Company Limited,1300,503.0,653900.0,2025-09-28T14:59:59.56368
2025-09-28,46,2025092804008968,AKJCL,Agrawal Securities (PVT) Ltd.,Midas Stock Broking Company Private Limited,457,196.5,89800.5,2025-09-28T14:59:59.499624
2025-09-28,47,2025092805010764,BHL,ABC Securities Private Limited,Naasa Securities Co. Ltd.,489,193.5,94621.5,2025-09-28T14:59:59.498345
