Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount,Trade Time
2025-08-11,1,2025081103017392,MDB,Investment Management Nepal Pvt. Ltd.,Neev Securities Pvt. Ltd.,30,642.0,19260.0,2025-08-11T14:59:59.913152
2025-08-11,2,2025081103017391,USLB,Himalayan Brokerage Company Limited,Agrawal Securities (PVT) Ltd.,10,2238.0,22380.0,2025-08-11T14:59:59.894554
2025-08-11,3,2025081105034195,TPC,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,N.M.B. SECURITIES LIMITED,150,375.0,56250.0,2025-08-11T14:59:59.81967
2025-08-11,4,2025081105034194,MMKJL,Aryatara Investment & Securities,Nepal Stock House (PVT) Ltd.,10,595.0,5950.0,2025-08-11T14:59:59.800455
2025-08-11,5,2025081104023540,UPPER,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,40,198.2,7928.0,2025-08-11T14:59:59.792958
2025-08-11,6,2025081105034193,SMATA,KALASH STOCK MARKET PVT. LTD.,Aakashbhairab Securities Ltd.,10,1035.0,10350.0,2025-08-11T14:59:59.733437
2025-08-11,7,2025081105034192,MEL,J.F. Securites (PVT) Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,146,306.6,44763.6,2025-08-11T14:59:59.718664
2025-08-11,8,2025081104023539,UMHL,Sumeru Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,358,589.0,210862.0,2025-08-11T14:59:59.703493
2025-08-11,9,2025081104023538,UMHL,Sumeru Securities Pvt. Ltd.,Capital Max Securities Ltd,50,589.0,29450.0,2025-08-11T14:59:59.703462
2025-08-11,10,2025081104023537,UMHL,Sumeru Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,92,589.0,54188.0,2025-08-11T14:59:59.703412
2025-08-11,11,2025081104023536,RHPL,Imperial Securities Company Pvt. Ltd.,J.F. Securites (PVT) Ltd.,12,314.8,3777.6,2025-08-11T14:59:59.662534
2025-08-11,12,2025081104023535,LEC,Kumari Securities Private Limited,J.F. Securites (PVT) Ltd.,10,235.0,2350.0,2025-08-11T14:59:59.600395
2025-08-11,13,2025081104023534,PRIN,Oxford Securities Pvt. Ltd.,Kumari Securities Private Limited,21,790.0,16590.0,2025-08-11T14:59:59.595
2025-08-11,14,2025081104023533,PRIN,Online Securities Pvt. Ltd.,Kumari Securities Private Limited,50,790.0,39500.0,2025-08-11T14:59:59.594954
2025-08-11,15,2025081104023532,PRIN,ABC Securities Private Limited,Kumari Securities Private Limited,200,790.0,158000.0,2025-08-11T14:59:59.594909
2025-08-11,16,2025081104023531,PRIN,Aryatara Investment & Securities,Kumari Securities Private Limited,25,790.0,19750.0,2025-08-11T14:59:59.594861
2025-08-11,17,2025081104023530,PRIN,South Asian Bulls Pvt. Ltd.,Kumari Securities Private Limited,100,791.0,79100.0,2025-08-11T14:59:59.59481
2025-08-11,18,2025081104023529,PRIN,Aryatara Investment & Securities,Kumari Securities Private Limited,120,791.0,94920.0,2025-08-11T14:59:59.594761
2025-08-11,19,2025081104023528,PRIN,Kohinoor Investment & Securities Pvt. Ltd.,Kumari Securities Private Limited,200,791.0,158200.0,2025-08-11T14:59:59.594696
2025-08-11,20,2025081104023527,PRIN,Aryatara Investment & Securities,Kumari Securities Private Limited,123,791.9,97403.7,2025-08-11T14:59:59.594643
2025-08-11,21,2025081104023526,PRIN,Cristal Kanchanjanga Securites Pvt. Ltd.,Kumari Securities Private Limited,100,792.0,79200.0,2025-08-11T14:59:59.594594
2025-08-11,22,2025081104023525,PRIN,Aryatara Investment & Securities,Kumari Securities Private Limited,275,793.0,218075.0,2025-08-11T14:59:59.594537
2025-08-11,23,2025081104023524,PRIN,Imperial Securities Company Pvt. Ltd.,Kumari Securities Private Limited,11,793.0,8723.0,2025-08-11T14:59:59.594406
2025-08-11,24,2025081104023523,UAIL,South Asian Bulls Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,562.0,5620.0,2025-08-11T14:59:59.515816
2025-08-11,25,2025081104023522,AKJCL,Agrawal Securities (PVT) Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,20,209.0,4180.0,2025-08-11T14:59:59.465019
2025-08-11,26,2025081103017390,NADEP,Sani Securities Company Ltd.,Oxford Securities Pvt. Ltd.,50,940.0,47000.0,2025-08-11T14:59:59.428871
2025-08-11,27,2025081103017389,NUBL,Sharepro Securities Private Limited,Sani Securities Company Ltd.,50,779.1,38955.0,2025-08-11T14:59:59.425729
2025-08-11,28,2025081101023398,SARBTM,Sani Securities Company Ltd.,Sajilo Broker Limited,25,938.0,23450.0,2025-08-11T14:59:59.419985
2025-08-11,29,2025081101023397,SARBTM,Sani Securities Company Ltd.,Sani Securities Company Ltd.,75,938.0,70350.0,2025-08-11T14:59:59.419878
2025-08-11,30,2025081101023396,TTL,Trisul Securities & Invt. Ltd.,Naasa Securities Co. Ltd.,10,978.0,9780.0,2025-08-11T14:59:59.375791
2025-08-11,31,2025081105034191,BEDC,South Asian Bulls Pvt. Ltd.,Nagarik Stock Dealer ,90,742.4,66816.0,2025-08-11T14:59:59.340818
2025-08-11,32,2025081105034190,BEDC,Secured Securities Ltd.,Nagarik Stock Dealer ,20,745.1,14902.0,2025-08-11T14:59:59.340707
2025-08-11,33,2025081101023395,SBL,Sri Hari Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,100,379.0,37900.0,2025-08-11T14:59:59.28856
2025-08-11,34,2025081103017388,MERO,Sri Hari Securities Pvt. Ltd.,Linch Stock Market Ltd.,59,841.0,49619.0,2025-08-11T14:59:59.282375
2025-08-11,35,2025081103017387,MERO,Sri Hari Securities Pvt. Ltd.,Neev Securities Pvt. Ltd.,10,841.0,8410.0,2025-08-11T14:59:59.282068
2025-08-11,36,2025081103017386,SAPDBL,Sajilo Broker Limited,Sundhara Securities Limited,10,855.6,8556.0,2025-08-11T14:59:59.280837
2025-08-11,37,2025081103017385,SAPDBL,Nepal Investment And Securities Trading Private Limited,Sundhara Securities Limited,10,860.0,8600.0,2025-08-11T14:59:59.280518
2025-08-11,38,2025081104023521,UPPER,Aryatara Investment & Securities,Creative Securities Pvt Ltd,300,198.1,59430.0,2025-08-11T14:59:59.202779
2025-08-11,39,2025081101023394,SRLI,NIMB Stock Markets Limited,Secured Securities Ltd.,20,406.0,8120.0,2025-08-11T14:59:59.199823
